ID,Company,Model,Type,Fuel,Transmission,Engine,Mileage,Km_driven,Buyers,Horsepower_kw,Year,Price (Lakhs)
58,Ferrari,F8 Tributo,Coupe,Petrol,Automatic,3902,7.75,27000,2,709.0,2014,200.0
59,Ferrari,SF90 Stradale,Coupe,Petrol,Automatic,3990,18.0,33000,2,985.0,2015,350.0
60,Ferrari,SF90 Stradale,Coupe,Petrol,Automatic,3990,18.0,40000,2,985.0,2017,300.0
61,Ferrari,La Ferrari,Coupe,Petrol,Automatic,6262,11.0,60000,2,795.0,2018,400.0
62,Ferrari,La Ferrari,Coupe,Petrol,Automatic,6262,11.0,60000,2,795.0,2016,200.0
63,Ferrari,458 spider,Coupe,Petrol,Automatic,4497,5.5,46000,3,561.0,2020,262.0
64,Land Rover,Defender,SUV,Petrol,Automatic,1997,14.2,46000,2,257.0,2012,38.0
65,Land Rover,Discovery,SUV,Petrol,Automatic,1997,13.17,36000,2,250.0,2014,65.0
66,Land Rover,Range Rover,SUV,Petrol,Automatic,2995,9.32,55000,3,286.0,2018,133.0
67,Land Rover,Range Rover,SUV,Petrol,Automatic,2995,9.32,40000,3,286.0,2018,90.0
68,Land Rover,Range Rover Evoque,SUV,Petrol,Automatic,1998,10.6,16000,2,166.0,2015,40.33
69, Kia,Seltos,SUV,Diesel,Automatic,1493,16.0,36000,2,94.0,2020,8.09
70, Kia,Seltos,SUV,Diesel,Automatic,1493,16.0,36000,2,94.0,2014,5.0
71, Kia,Sonet,SUV,Petrol,Automatic,1197,21.0,47000,2,74.0,2021,4.72
72, Kia,Sonet,SUV,Petrol,Automatic,1197,21.0,10000,2,74.0,2017,4.0
73, Kia,Carnival,MUV,Diesel,Automatic,2199,14.0,23452,2,146.0,2010,7.83
74,Toyota ,Fortuner,SUV,Petrol,Automatic,2694,10.26,35522,3,132.0,2011,10.77
75, Kia,Sonet,SUV,Petrol,Automatic,1197,21.0,47000,2,74.0,2021,4.72
76, Kia,Sonet,SUV,Petrol,Automatic,1197,21.0,47000,2,74.0,2013,7.8
77,Toyota ,Glanza,Hatchback,Petrol,Automatic,1197,22.0,15487,2,63.0,2013,5.15
78,Toyota ,Yaris,Sedan,Petrol,Automatic,1496,18.0,39000,2,74.0,2014,6.16
79,Toyota ,Innova,SUV,Petrol,Automatic,1998,14.0,39000,2,115.0,2015,10.0
80,Toyota ,Innova,SUV,Petrol,Automatic,1998,14.0,20000,2,115.0,2015,6.0
81,Toyota ,Urban Cruiser,SUV,Petrol,Automatic,1462,18.0,35000,2,76.0,2016,5.51
82,Toyota ,Urban Cruiser,SUV,Petrol,Automatic,1462,18.0,35000,2,76.0,2013,8.0
83,Toyota ,Vellfire,MUV,Hybrid,Automatic,2494,16.35,30874,2,84.0,2017,67.0
84,Jaguar,F Pace,SUV,Diesel,Automatic,1997,12.9,15000,2,167.0,2018,50.81
85,Jaguar,XF,Sedan,Petrol,Automatic,1997,13.12,29685,2,152.0,2019,35.0
86,Jaguar,XF,Sedan,Petrol,Automatic,1997,13.12,10000,2,152.0,2019,30.0
87,Jaguar,XE,Sedan,Petrol,Automatic,1997,12.66,41000,2,147.0,2020,20.04
88,Jaguar,XE,Sedan,Petrol,Automatic,1997,12.66,20000,2,147.0,2020,50.0
89,Jaguar,F Type,Coupe,Petrol,Automatic,5000,9.3,25000,2,322.0,2015,78.0
90,Jaguar,I Pace,SUV,Electric,Automatic,0,15.0,130000,2,167.0,2019,80.0
91,Porsche,Macan,SUV,Petrol,Automatic,2995,11.24,24530,2,228.0,2018,34.98
92,Porsche,Macan,SUV,Petrol,Automatic,2995,11.24,24530,2,228.0,2017,30.0
93,Porsche,Cayenne,SUV,Hybrid,Automatic,3996,20.0,130000,2,327.0,2020,40.0
94,Porsche,Cayenne,SUV,Hybrid,Automatic,3996,20.0,7000,2,327.0,2020,50.0
95,Porsche,911,Coupe,Petrol,Automatic,2981,10.0,19000,2,358.0,2014,88.0
96,Porsche,718,Coupe,Petrol,Automatic,3995,9.17,60000,4,235.0,2013,80.0
97,Porsche,718,Coupe,Petrol,Automatic,3995,9.17,60000,4,235.0,2016,80.0
98,Porsche,Panamera,Sedan,Petrol,Automatic,3996,9.0,60000,2,353.0,2014,80.0
99, Ford,EcoSport,SUV,Diesel,Manual,1498,18.0,30000,2,82.0,2012,3.17
100, Ford,EcoSport,SUV,Diesel,Manual,1498,18.0,40000,2,82.0,2015,7.3
101, Ford,Endeavour,SUV,Diesel,Automatic,1996,13.0,41000,2,105.0,2013,18.74
102, Ford,Figo,Hatchback,Diesel,Manual,1499,16.0,35000,3,70.0,2014,2.58
103, Ford,Figo,Hatchback,Diesel,Manual,1499,16.0,20000,3,70.0,2020,3.4
104, Ford,Freestyle,Hatchback,Diesel,Manual,1499,22.0,54000,2,72.0,2015,4.17
105, Ford,Aspire,Sedan,Diesel,Manual,1499,22.0,13000,2,72.0,2016,8.17
106, Audi,Q8,SUV,Diesel,Automatic,2995,9.0,16000,2,230.0,2017,111.0
107, Audi,Q8,SUV,Diesel,Automatic,2995,9.0,10000,2,230.0,2013,50.0
108, Audi,A6,Sedan,Petrol,Automatic,1984,14.0,38200,2,157.0,2018,36.46
109, Audi,A8,Sedan,Petrol,Automatic,2995,12.0,22000,2,220.0,2019,75.0
110, Audi,A8,Sedan,Petrol,Automatic,2995,12.0,30000,2,220.0,2019,60.0
111, Audi,RS7,Sedan,Petrol,Automatic,3996,8.7,22000,2,383.0,2020,100.0
112, Audi,RS7,Sedan,Petrol,Automatic,3996,8.7,50000,2,383.0,2020,76.0
113, Audi,RS Q8,SUV,Petrol,Automatic,3998,8.0,50000,2,375.0,2018,100.0
114, Audi,RS Q8,SUV,Petrol,Automatic,3998,8.0,50000,2,375.0,2015,100.0
115, Audi,Q2,SUV,Petrol,Automatic,1984,15.0,13500,3,130.0,2015,19.96
116, Audi,e-tron,Sedan,Electric,Automatic,0,15.0,30000,2,210.0,2014,70.0
117, Audi,e-tron,Sedan,Electric,Automatic,0,15.0,50000,2,210.0,2017,27.0
118, Audi,RS5 2021,Coupe,Petrol,Automatic,2894,10.87,50000,2,290.0,2013,87.0
119, Audi,S5 Sportback,Sedan,Petrol,Automatic,2994,11.0,20000,3,220.0,2015,50.0
120, Audi,S5 Sportback,Sedan,Petrol,Automatic,2994,11.0,20000,3,220.0,2018,70.0
121, Audi,A4,Sedan,Petrol,Automatic,1984,17.42,39000,2,120.0,2017,23.96
122,BMW,M5,Sedan,Petrol,Automatic,4395,9.12,30000,2,376.0,2019,81.0
123,BMW,M5,Sedan,Petrol,Automatic,4395,9.12,12000,2,376.0,2019,20.0
124,BMW,X5,SUV,Petrol,Automatic,2998,11.0,3600,3,327.0,2012,50.6
125,BMW,X5,SUV,Petrol,Automatic,2998,11.0,3600,3,327.0,2020,32.0
126,BMW,X6,SUV,Petrol,Automatic,2998,10.0,32000,2,215.0,2013,65.0
127,BMW,X7,SUV,Diesel,Automatic,2993,12.0,38000,2,205.0,2014,70.0
128,BMW,X7,SUV,Diesel,Automatic,2993,12.0,15000,2,205.0,2018,40.0
129,BMW,X1,SUV,Petrol,Automatic,1998,18.0,45000,3,166.0,2015,21.32
130,BMW,Z4,Coupe,Petrol,Automatic,1998,14.0,35000,2,212.0,2016,49.01
131,BMW,X3,SUV,Diesel,Automatic,1998,15.0,50000,2,132.0,2017,31.44
132,BMW,X3,SUV,Diesel,Automatic,1998,15.0,20000,2,132.0,2014,23.0
133,BMW,X4,SUV,Petrol,Automatic,2993,13.0,32000,5,190.0,2018,50.56
134,BMW,i8,Coupe,Petrol,Automatic,1499,47.45,45863,3,215.0,2019,162.0
135,BMW,i8,Coupe,Petrol,Automatic,1499,47.45,40000,3,215.0,2017,67.0
136,Lamborghini,Urus,SUV,Petrol,Automatic,3996,7.87,60500,4,630.0,2016,181.0
137,Lamborghini,Aventador,Coupe,Petrol,Automatic,6498,7.69,12500,3,740.0,2017,301.0
138,Lamborghini,Aventador,Coupe,Petrol,Automatic,6498,7.69,15000,3,740.0,2019,167.0
139,Lamborghini,Huracan,Coupe,Petrol,Automatic,5204,11.24,60000,5,626.0,2019,122.0
140,Lamborghini,Gallardo,Coupe,Petrol,Automatic,5204,6.4,35000,4,522.0,2020,111.0
141,Lamborghini,Gallardo,Coupe,Petrol,Automatic,5204,6.4,40000,4,522.0,2017,200.0
142,Lamborghini,Murcielago,Coupe,Petrol,Automatic,6496,3.8,35000,4,651.0,2018,100.0
143,Lamborghini,Sian,Coupe,Petrol,Semi-Auto,6500,8.1,45000,2,800.0,2015,115.0
144,Lamborghini,Sian,Coupe,Petrol,Semi-Auto,6500,8.1,25000,2,800.0,2019,89.0
145,Rolls Royce,Phantom,Sedan,Petrol,Automatic,6749,6.71,35000,4,417.0,2018,605.0
146,Rolls Royce,Phantom,Sedan,Petrol,Automatic,6749,6.71,35000,4,417.0,2016,189.0
147,Rolls Royce,Ghost,Sedan,Petrol,Automatic,6592,8.4,38000,3,430.0,2019,370.0
148,Rolls Royce,Cullinan,Sedan,Petrol,Automatic,6749,9.5,18000,5,430.0,2016,495.0
149,Rolls Royce,Cullinan,Sedan,Petrol,Automatic,6749,9.5,40000,5,430.0,2015,280.0
150,Rolls Royce,Dawn,Sedan,Petrol,Automatic,6598,9.8,13500,3,420.0,2017,292.0
